 GL552VWR20ENG        FABMASTER (R)          licence #5053 NATSTEEL, 

 Test Fixture Nails    2107/2362 Selected Drills           29-Jun-2015 18:02
                       2107 Nails, 2371 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$339       5.848     3.480   3  2A   (T)  #1749 DMI_TXP2         V VIA .
$340       5.773     3.481   2  2A   (T)  #1746 DMI_TXN3         V VIA .
$341       5.827     3.540   3  2A   (T)  #1724 I2C1_SCL         V VIA .
$342       5.747     3.566   2  2A   (T)  #1725 I2C1_SDA         V VIA .
$343       5.780     3.755   2  2A   (T)  #1836 PCIE16_RXP       V PIN T2157.1
$344       5.870     3.787   1  2A   (T)  #540  P_LS_VCCMPHYG_RC_10 V VIA .
$345       5.785     3.860   1  2A   (T)  #1434 +1.0VM_VCCMPHY_PLLEBB V VIA .
$346       5.865     4.078   1  2A   (T)  #1614 +VCCMPHYG        V VIA .
$347       6.179     4.417   1  2A   (T)  #1356 SPI0_MOSI_SYS_PWROK_XDP V VIA .
$348       6.139     4.536   1  2A   (T)  #1669 XDP_TCLK1        V VIA .
$349       6.038     4.478   1  2A   (T)  #1664 PM_PWRBTN#_XDP_X1 V VIA .
$350       5.884     4.498   1  2A   (T)  #2356 PM_PWRBTN#_XDP   V VIA .
$351       6.028     4.936   1  2A   (T)  #1533 ITP_PMODE_XDP_RST_R_N V VIA .
$352       5.914     5.001   3  2A   (T)  #1665 CLK_ITP_BCLK_PCH#_X1 V VIA .
$353       5.884     4.953   3  2A   (T)  #1663 CLK_ITP_BCLK_PCH_X1 V VIA .
$354       5.639     5.029   2  2A   (T)  #1895 CLK_ITP_BCLK_PCH# V VIA .
$355       5.578     4.993   2  2A   (T)  #1896 CLK_ITP_BCLK_PCH V VIA .
$356       5.469     4.539   1  2A   (T)  #1525 N47428084        V VIA .
$357       5.433     3.994   1  2A   (T)  #404  SATA_ODD_PRSNT#  V VIA .
$358       5.640     3.890   2  2A   (T)  #1840 PCIE17_RXP       V PIN T2149.1
$359       5.645     3.810   2  2A   (T)  #1839 PCIE17_RXN       V PIN T2148.1
$360       5.710     3.780   2  2A   (T)  #1835 PCIE16_RXN       V PIN T2156.1
$361       5.629     3.574   3  2A   (T)  #1833 PCIE12_RXN_NGFF1_L3 V VIA .
$362       5.604     3.530   3  2A   (T)  #1856 PCIE9_RXP_NGFF1_L0 V VIA .
$363       5.666     3.498   3  2A   (T)  #1830 PCIE10_RXP_NGFF1_L1 V VIA .
$364       5.636     3.443   3  2A   (T)  #1753 DMI_RXN2         V VIA .
$365       5.666     3.398   3  2A   (T)  #1752 DMI_RXN1         V VIA .
$366       5.620     3.289   2  2A   (T)  #1800 PCIE7_RXP        V PIN T2169.1
$367       5.700     3.190   2  2A   (T)  #1796 U3_U3RXDP7_CR    V PIN T2109.1
$368       5.630     3.190   2  2A   (T)  #1795 U3_U3RXDN7_CR    V PIN T2108.1
$369       5.690     3.115   2  2A   (T)  #1881 N95164170        V PIN T2210.1
$370       5.644     3.064   2  2A   (T)  #1882 N95164164        V PIN T2209.1
$371       5.689     3.006   3  2A   (T)  #1899 CLK4_PCIE_GLAN#_X1 V VIA .
$372       5.808     2.923   3  2A   (T)  #2359 CLK4_PCIE_GLAN   V VIA .
$373       5.724     2.919   3  2A   (T)  #1905 CLK3_PCIE_WLAN_X1 V VIA .
$374       5.684     2.953   3  2A   (T)  #1898 CLK3_PCIE_WLAN#_X1 V VIA .
$375       5.636     2.930   3  2A   (T)  #1900 CLK5_PCIE_USB31#_X1 V VIA .
$376       5.622     2.979   3  2A   (T)  #1907 CLK5_PCIE_USB31_X1 V VIA .
$377       5.583     3.013   3  2A   (T)  #1904 CLK0_PCIE_PEG_VGA_X1 V VIA .
$378       5.548     3.051   3  2A   (T)  #1897 CLK0_PCIE_PEG#_VGA_X1 V VIA .
$379       5.564     3.123   2  2A   (T)  #1888 N43481505        V PIN T2229.1
$380       5.518     3.192   2  2A   (T)  #1887 N43481501        V PIN T2228.1
$381       5.540     3.305   2  2A   (T)  #1799 PCIE7_RXN        V PIN T2168.1
$382       5.480     3.375   2  2A   (T)  #1804 PCIE8_RXP        V PIN T2173.1
$383       5.515     3.435   3  2A   (T)  #1803 PCIE8_RXN        V PIN T2172.1
$384       5.576     3.443   3  2A   (T)  #1751 DMI_RXN0         V VIA .
$385       5.544     3.532   3  2A   (T)  #1831 PCIE11_RXN_NGFF1_L2 V VIA .
$386       5.540     3.595   3  2A   (T)  #1847 PCIE19_RXN       V PIN T2143.1
$387       5.580     3.685   2  2A   (T)  #1848 PCIE19_RXP       V PIN T2142.1
$388       5.590     3.760   2  2A   (T)  #1843 PCIE18_RXN       V PIN T2152.1
$389       5.560     3.830   2  2A   (T)  #1844 PCIE18_RXP       V PIN T2153.1
$390       5.520     3.740   2  2A   (T)  #1851 PCIE20_RXN       V PIN T2139.1
$391       5.515     3.665   2  2A   (T)  #1852 PCIE20_RXP       V PIN T2138.1
$392       5.448     3.633   2  2A   (T)  #64   L_BKLTCTL_PCH_X1 V VIA .
$393       5.391     3.546   1  2A   (T)  #62   LCD_BACKEN_PCH_X1 V VIA .
$394       5.437     3.196   3  2A   (T)  #1916 +3VDSW_VCCPDSW12 V VIA .
$395       5.390     3.159   3  2A   (T)  #1910 CLK8_PCIE        V PIN T2218.1
$396       5.444     3.112   2  2A   (T)  #1903 CLK8_PCIE#       V PIN T2217.1
$397       5.504     3.079   3  2A   (T)  #1901 CLK6_PCIE_NGFF1#_X1 V VIA .
$398       5.516     3.007   3  2A   (T)  #1908 CLK6_PCIE_NGFF1_X1 V VIA .
$399       5.452     2.964   2  2A   (T)  #1909 CLK7_PCIE        V PIN T2216.1
$400       5.456     2.895   2  2A   (T)  #1902 CLK7_PCIE#       V PIN T2215.1
$401       5.229     2.850   1  2A   (T)  #1823 USB_PP8          V PIN T2119.1
$402       5.013     2.847   1  2A   (T)  #1477 +VCCPAZIO        V VIA .
$403       5.117     2.969   3  2A   (T)  #1922 +3VSUS_VCCPRIM   V VIA .
$404       5.209     3.031   2  2A   (T)  #1816 USB_PP10         V PIN T2101.1
$405       5.309     3.009   3  2A   (T)  #179  H_PM_SYNC_X1     V VIA .
$406       5.344     3.052   3  2A   (T)  #1539 USB2_VBUSSENSE   V VIA .
$407       5.311     3.102   3  2A   (T)  #1810 USB_PN3          V PIN T2112.1
$408       5.265     3.139   3  2A   (T)  #1435 +3VS_VCCATS      V VIA .
$409       5.266     3.201   3  2A   (T)  #1819 USB_PP3          V PIN T2113.1
$410       5.213     3.167   3  2A   (T)  #1917 +1.0VSUS_VCCUSB2_HDAPLL V VIA .
$411       5.212     3.102   3  2A   (T)  #1807 USB_PN10         V PIN T2102.1
$412       5.122     3.114   2  2A   (T)  #1814 USB_PN8          V PIN T2118.1
$413       5.149     3.179   2  2A   (T)  #1911 GPP_A16          V PIN T2211.1
$414       5.169     3.245   2  2A   (T)  #1793 PCH_TP1          V PIN T2403.1
$415       5.199     3.544   2  2A   (T)  #440  TOUCHPAD_ID      V VIA .
$416       5.174     3.622   2  2A   (T)  #1786 CIO_PLUG_EVENT   V PIN T2406.1
$417       5.216     3.673   2  2A   (T)  #402  MSATA_MPCIE_DET# V VIA .
$418       5.311     3.690   1  2A   (T)  #407  USB_OC#2         V VIA .
$419       5.396     3.725   2  2A   (T)  #410  USB_OC#5         V VIA .
$420       5.350     3.774   2  2A   (T)  #414  NGFF3_DEVSLP     V PIN T2221.1
$421       5.372     3.854   2  2A   (T)  #432  NGFF2_DEVSLP     V PIN T2220.1
$422       5.291     3.922   2  2A   (T)  #431  NGFF1_DEVSLP     V VIA .
$423       5.290     3.853   2  2A   (T)  #403  DIRECT_ESATA_DETECT# V VIA .
$424       5.237     3.774   2  2A   (T)  #453  TOUCH_PANEL_ID   V VIA .
$425       5.192     3.827   2  2A   (T)  #1920 +VCCPGPP_EF      V VIA .
$426       5.105     4.017   2  2A   (T)  #454  PCB_ID1          V VIA .
$427       4.997     4.020   2  2A   (T)  #435  EXT_SMI#         V VIA .
$428       5.052     3.969   2  2A   (T)  #436  EXT_SCI#         V VIA .
$429       4.999     3.905   3  2A   (T)  #1723 SML0_CLK         V VIA .
$430       4.941     3.872   2  2A   (T)  #1722 SML0_DAT         V VIA .
$431       5.013     3.843   3  2A   (T)  #442  PCH_GPPC17       V PIN T2517.1
$432       5.079     3.795   2  2A   (T)  #456  PCH_GPPC21       V VIA .
$433       5.016     3.771   2  2A   (T)  #1941 PCH_GPPC8        V PIN T2504.1
$434       4.938     3.731   1  2A   (T)  #401  PCH_GPPC5        V VIA .
$435       4.927     3.598   3  2A   (T)  #429  CLK_REQ14#       V VIA .
$436       4.985     3.610   3  2A   (T)  #1791 SB_SPICS1#       V PIN T2404.1
$437       5.054     3.610   3  2A   (T)  #1787 GPIO_3_FORCE_PWR V PIN T2408.1
$438       5.101     3.561   3  2A   (T)  #1792 SB_SPICS2#       V PIN T2405.1
$439       5.042     3.551   3  2A   (T)  #419  CLKREQ6_NGFF1#_X1 V VIA .
$440       4.947     3.551   3  2A   (T)  #1918 +VCCPGPP_ADG     V VIA .
$441       4.935     3.472   3  2A   (T)  #1433 DCPDSW           V VIA .
$442       5.046     3.477   2  2A   (T)  #420  CLK_REQ7#        V VIA .
$443       5.110     3.449   2  2A   (T)  #1937 GSPI0_CLK        V PIN T2502.1
$444       5.045     3.374   2  2A   (T)  #1936 GSPI0_CS#        V PIN T2501.1
$445       4.965     3.389   3  2A   (T)  #614  SML1ALERT#       V VIA .
$446       4.968     3.315   3  2A   (T)  #1923 N94193710        V VIA .
$447       5.106     3.313   2  2A   (T)  #1794 PCH_TP2          V PIN T2402.1
$448       5.100     3.242   2  2A   (T)  #1858 PCH_GPP_A12      V PIN T2004.1
$449       5.045     3.199   3  2A   (T)  #1867 SLP_LAN#         V PIN T2002.1
$450       4.983     3.188   3  2A   (T)  #391  ME_AC_PRESENT_X1 V VIA .
$451       4.958     3.240   3  2A   (T)  #202  CLK_DEBUG_X1     V VIA .
$452       4.861     3.184   3  2A   (T)  #1861 SUS_CLK_X1       V VIA .
$453       4.920     3.167   3  2A   (T)  #1859 SLP_S5#          V PIN T2003.1
$454       4.871     3.111   2  2A   (T)  #388  PM_RSMRST#_X1    V PIN T0709.1
$455       4.943     3.083   2  2A   (T)  #1863 ACZ_BCLK_AUD_X1  V VIA .
$456       5.010     3.076   3  2A   (T)  #395  DPWROK_R         V VIA .
$457       5.055     3.109   3  2A   (T)  #389  PM_PWROK_X1      V VIA .
$458       5.072     3.052   3  2A   (T)  #1870 DDI3_TBT_HPD2    V PIN T2308.1
$459       5.007     3.025   3  2A   (T)  #1478 ACZ_SDOUT_AUD_X1 V VIA .
$460       5.055     2.986   3  2A   (T)  #1869 DDI1_DP_HPD0     V PIN T2301.1
$461       5.004     2.937   2  2A   (T)  #1871 DDIE_VGA_HPD3    V PIN T2310.1
$462       4.934     2.940   2  2A   (T)  #1729 DDPB_SDA_PCH     V PIN T2306.1
$463       4.918     3.016   2  2A   (T)  #1728 DDPB_SCL_PCH     V PIN T2307.1
$464       4.861     2.975   2  2A   (T)  #231  DDPD_SCL_PCH     V PIN T2302.1
$465       4.667     2.586   1  2A   (T)  #393  PM_SYSPWROK_X1   V VIA .
$466       4.550     2.588   1  2A   (T)  #232  WLAN_LED#_R      V VIA .
$467       4.387     2.572   1  2A   (T)  #74   PWR_SW#          V VIA .
$468       4.426     2.474   3  2A   (T)  #233  OS_LED_CON#_R    V VIA .
$469       4.375     2.468   3  2A   (T)  #235  CAP_LED#_R       V VIA .
$470       4.405     2.319   1  2A   (T)  #234  OS_LED_CON#      V VIA .
$471       4.119     2.275   1  2A   (T)  #2259 N39605707        V VIA .
$472       4.008     2.265   1  2A   (T)  #117  Q5613-36         V VIA .
$473       3.812     2.529   3  3A   (T)  #852  KSO1             V VIA .
$474       3.801     2.579   3  3A   (T)  #845  KSI2             V VIA .
$475       3.850     2.562   3  2A   (T)  #846  KSI3             V VIA .
$476       3.896     2.583   3  2A   (T)  #843  KSI0             V VIA .
$477       3.947     2.582   3  2A   (T)  #856  KSO13            V VIA .
$478       3.937     2.530   3  2A   (T)  #862  KSO5             V VIA .
$479       3.990     2.556   3  2A   (T)  #861  KSO4             V VIA .
$480       4.033     2.582   3  2A   (T)  #865  KSO8             V VIA .
$481       4.067     2.541   3  2A   (T)  #854  KSO11            V VIA .
$482       4.095     2.583   3  2A   (T)  #863  KSO6             V VIA .
$483       4.145     2.556   3  2A   (T)  #855  KSO12            V VIA .
$484       4.204     2.448   2  2A   (T)  #858  KSO15            V VIA .
$485       4.220     2.374   2  2A   (T)  #574  CAP_LED          V VIA .
$486       4.266     2.481   3  2A   (T)  #115  CAP_LED#_C       V VIA .
$487       4.215     2.534   3  2A   (T)  #857  KSO14            V VIA .
$488       4.192     2.581   3  2A   (T)  #853  KSO10            V VIA .
$489       4.078     3.136   1  2A   (T)  #1368 N32525338        V VIA .
$490       4.309     3.325   1  2A   (T)  #53   SLP_S3#          V VIA .
$491       4.363     3.215   2  2A   (T)  #1713 PM_SUSACK#       V VIA .
$492       4.383     3.145   2  2A   (T)  #396  PCH_GPD2#        V VIA .
$493       4.570     3.050   1  2A   (T)  #1431 RTCRST#          V VIA .
$494       4.690     3.089   2  2A   (T)  #1712 PCIE_WAKE#_X1    V VIA .
$495       4.702     3.163   2  2A   (T)  #61   PWRBTN#          V VIA .
$496       4.855     3.343   3  2A   (T)  #1912 CLK_PEGA_REQ0#_X1 V VIA .
$497       4.915     3.350   3  2A   (T)  #1935 PCH_GPP_A23      V PIN T2508.1
$498       4.849     3.400   3  2A   (T)  #417  CLKREQ4_GLAN#_X1 V VIA .
$499       4.724     3.396   1  2A   (T)  #91   CLKREQ4_GLAN#    V VIA .
$500       4.592     3.220   2  2A   (T)  #1447 DRAMRST#         V VIA .
$501       4.508     3.220   3  2A   (T)  #386  SLP_WLAN#        V PIN T2005.1
$502       4.468     3.265   3  2A   (T)  #397  LAN_PWREN        V VIA .
$503       4.523     3.293   3  2A   (T)  #415  PCI_INTA#        V VIA .
$504       4.521     3.424   2  2A   (T)  #1364 +3VSUS_VCCPRTCPRIM V VIA .
$505       4.366     3.497   1  2A   (T)  #422  CLK_REQ2#        V VIA .
$506       4.526     3.675   3  2A   (T)  #244  SPI_SI           V VIA .
$507       4.571     3.478   2  2A   (T)  #1366 DCPRTC           V VIA .
$508       4.630     3.545   1  2A   (T)  #455  PCH_GPPB19       V VIA .
$509       4.712     3.505   1  2A   (T)  #1938 GSPI0_MISO       V PIN T2519.1
$510       4.735     3.649   3  2A   (T)  #416  CLK_REQ1#        V VIA .
$511       4.687     3.616   3  2A   (T)  #425  CLK_REQ10#       V VIA .
$512       4.636     3.634   3  2A   (T)  #439  PCH_GPPB20       V VIA .
$513       4.644     3.702   3  2A   (T)  #427  CLK_REQ12#       V VIA .
$514       4.588     3.727   3  2A   (T)  #448  PCH_GPPB22       V VIA .
$515       4.615     3.854   1  2A   (T)  #451  PCH_GPPB21       V VIA .
$516       4.708     3.835   2  2A   (T)  #400  PCH_GPPC2        V VIA .
$517       4.769     3.782   3  2A   (T)  #428  CLK_REQ13#       V VIA .
$518       4.815     3.806   3  2A   (T)  #1919 +VCCPGPP_BCH     V VIA .
$519       4.886     4.022   3  2A   (T)  #450  NFC_ID           V VIA .
$520       4.807     4.009   3  2A   (T)  #1721 SML1_DAT         V VIA .
$521       4.815     4.072   3  2A   (T)  #1720 SML1_CLK         V VIA .
$522       4.732     4.006   3  2A   (T)  #1717 +1.0VSUS_VCCPRIM V VIA .
$523       4.309     3.896   2  2A   (T)  #784  DDR4_DRAMRST#    V VIA .
$524       4.278     3.965   2  2A   (T)  #1783 N43965724        V VIA .
$525       4.240     4.025   2  2A   (T)  #206  N43966204        V VIA .
$526       4.146     3.920   1  2A   (T)  #478  USB31_5VBUS#     V VIA .
$527       3.880     4.010   1  2A   (T)  #364  P_3VADSW_HG_30   V VIA .
$528       3.889     4.119   1  2A   (T)  #1305 P_3VADSW_LG_30   V VIA .
$529       3.820     4.549   1  2A   (T)  #398  MPHY_PWREN       V VIA .
$530       4.104     4.315   1  2A   (T)  #207  +RTCBAT          V VIA .
$531       4.233     4.280   3  2A   (T)  #188  CLK_25M_LAN_XIN_X1 V VIA .
$532       4.203     4.235   3  2A   (T)  #1361 N43968375        V VIA .
$533       4.235     4.151   1  2A   (T)  #1782 CLK_32K_RTC_XIN_X1 V VIA .
$534       4.356     4.113   1  2A   (T)  #200  CLK_27M_VGA_XIN_X1 V VIA .
$535       4.475     4.180   3  2A   (T)  #1363 N43965192        V VIA .
$536       4.509     4.227   3  2A   (T)  #51   N62819088        V VIA .
$537       4.460     4.285   3  2A   (T)  #1450 X1_25M_IN        V VIA .
$538       4.425     4.249   3  2A   (T)  #50   X2_25M_OUT       V VIA .
$539       4.369     4.283   2  2A   (T)  #1362 N43965313        V VIA .
$540       4.308     4.361   2  2A   (T)  #1781 CLK_24M_PCH_XIN_X1 V VIA .
$541       4.345     4.422   2  2A   (T)  #1360 N43967268        V VIA .
$542       4.444     4.824   1  2A   (T)  #1470 P_IMVP8_CSREF_3PH_B2_10 V VIA .
$543       5.207     4.249   1  2A   (T)  #201  CLK_27M_VGA_XIN  V VIA .
$544       5.234     4.532   2  2A   (T)  #1925 PCH_TRST#        V VIA .
$545       5.156     4.528   2  2A   (T)  #1927 XDP_PREQ#_PCH    V VIA .
$546       5.077     4.510   2  2A   (T)  #2314 NV_GPU_EVENT#    V VIA .
$547       5.116     4.597   2  2A   (T)  #153  PCH_JTAG_TDO     V PIN T0713.1
$548       5.148     4.732   1  2A   (T)  #1668 XDP_TRST#        V VIA .
$549       5.158     4.872   2  2A   (T)  #1670 XDP_TDI          V VIA .
$550       5.094     4.822   2  2A   (T)  #385  N96073305        V VIA .
$551       5.018     4.878   1  2A   (T)  #1516 ITP_PMODE        V VIA .
$552       4.902     5.626   1  2A   (T)  #346  P_IMVP8_VCC_HG3_R_30 V VIA .
$553       5.984     5.956   1  2B   (T)  #1505 N487836181       V VIA .
$554       6.009     6.083   3  2B   (T)  #1504 N487833160       V VIA .
$555       6.010     6.139   3  2B   (T)  #1502 N44768194        V VIA .
$556       5.984     6.182   3  2B   (T)  #1503 N44768195        V VIA .
$557       4.903     6.120   1  2B   (T)  #348  P_IMVP8_VCC_HG2_R_30 V VIA .
$558       4.922     5.901   1  2B   (T)  #349  P_IMVP8_VCC_LX2_30 V VIA .
$559       4.335     5.707   1  2B   (T)  #1085 P_IMVP8_VCC_HG2_30 V VIA .
$560       4.335     5.496   1  2A   (T)  #1088 P_IMVP8_VCC_HG3_30 V VIA .
$561       4.277     5.391   1  2A   (T)  #1093 P_IMVP8_GT_BST2_30 V VIA .
$562       4.309     5.281   1  2A   (T)  #1094 P_IMVP8_GT_HG2_30 V VIA .
$563       4.303     5.136   1  2A   (T)  #350  P_IMVP8_GT_HG2_R_30 V VIA .
$564       3.757     5.237   1  3A   (T)  #1602 P_IMVP8_GT_VIN_S V VIA .
$565       3.774     5.408   2  3A   (T)  #318  P_IMVP8_CSP2_3PH_B_ISEN+_10 V VIA .
$566       3.740     5.472   2  3A   (T)  #319  P_IMVP8_CSP1_3PH_B_ISEN+_10 V VIA .
$567       3.735     5.574   1  3A   (T)  #1056 P_IMVP8_CSP1_3PH_B_10 V VIA .
$568       3.798     5.731   2  3B   (T)  #340  P_IMVP8_PWM3_3PH_B/ROSC_10 V VIA .
$569       3.786     5.800   2  3B   (T)  #1064 P_IMVP8_VCC_30   V VIA .
$570       3.763     5.904   1  3B   (T)  #1079 P_IMVP8_TTSENSE_3PH_A_10 V VIA .
$571       3.752     6.062   1  3B   (T)  #1077 P_IMVP8_CSSUM_3PH_A_10 V VIA .
$572       3.633     6.115   1  3B   (T)  #1555 P_IMVP8_CSCOMP_L_3PH_A_10 V VIA .
$573       3.639     6.025   1  3B   (T)  #1068 P_IMVP8_CSCOMP_3PH_A_10 V VIA .
$574       3.677     5.883   2  3B   (T)  #1076 P_IMVP8_ILIM_3PH_A_10 V VIA .
$575       3.603     5.881   2  3B   (T)  #316  P_IMVP8_IMON_3PH_A_10 V VIA .
$576       3.518     5.924   1  3B   (T)  #5    P_IMVP8_VSP_3PH_A_10 V VIA .
$577       3.525     5.816   2  3B   (T)  #312  P_IMVP8_IMON_1PH_10 V VIA .
$578       3.544     5.743   2  3B   (T)  #17   P_IMVP8_VR_RDY_10 V VIA .
$579       3.539     5.669   2  3A   (T)  #15   P_IMVP8_EN_10    V VIA .
$580       3.663     5.634   1  3A   (T)  #317  P_IMVP8_IMOM_3PH_B_10 V VIA .
$581       3.520     5.474   1  3A   (T)  #14   ALL_SYSTEM_PWRGD V VIA .
$582       3.447     5.536   1  3A   (T)  #9    P_IMVP8_VSP_3PH_B_10 V VIA .
$583       3.394     5.611   1  3A   (T)  #157  P_SVID_ALERT#_X2 V VIA .
$584       3.383     5.716   2  3B   (T)  #1703 P_SVID_CLK_X2    V VIA .
$585       3.365     5.788   2  3B   (T)  #1058 P_IMVP8_CSN_1PH_ISEN-_10 V VIA .
$586       3.055     5.650   2  3A   (T)  #1701 +3VA_ECO         V VIA .
$587       3.082     5.586   2  3A   (T)  #1309 P_LS_3VA_EC_CT_10 V VIA .
$588       3.163     5.546   1  3A   (T)  #1615 P_LS_3VSUS_CT_10 V VIA .
$589       3.211     5.202   1  3A   (T)  #183  +VCCIO           V VIA .
$590       3.034     5.308   1  3A   (T)  #1561 INTB#            V VIA .
$591       2.985     5.235   1  3A   (T)  #576  SUSB_EC          V PIN T5701.1
$592       3.059     5.027   1  3A   (T)  #653  +5VS_DISCHRG     V VIA .
$593       3.161     4.892   1  3A   (T)  #671  +12VS_DISCHRG    V VIA .
$594       3.277     4.886   1  3A   (T)  #332  P_2.5V_SENSE_10  V VIA .
$595       3.334     4.681   1  3A   (T)  #546  P_LS_3V_RC_10    V VIA .
$596       3.172     4.727   1  3A   (T)  #1025 N47522676        V VIA .
$597       3.092     4.640   1  3A   (T)  #539  P_MPHY_PWREN_10  V VIA .
$598       3.202     4.576   1  3A   (T)  #670  +12V_DISCHRG     V VIA .
$599       3.330     4.455   1  3A   (T)  #211  +3VA_DSW         V PIN PT8701.1
$600       3.610     4.280   1  3A   (T)  #1497 P_+3VADSWO_S     V PIN PT8708.1
$601       3.540     3.904   1  3A   (T)  #1690 +5VAO            V PIN PT8709.1
$602       3.231     4.168   1  3A   (T)  #536  +5VA             V VIA .
$603       3.176     4.270   1  3A   (T)  #361  P_5VSUS_VSENS_10 V VIA .
$604       3.016     4.440   1  3A   (T)  #1026 N47523416        V VIA .
$605       2.950     4.075   1  3A   (T)  #623  N5105212         V VIA .
$606       2.876     3.933   1  3A   (T)  #1537 +RTC_BAT         V VIA .
$607       3.055     3.984   1  3A   (T)  #1365 +3VA_RTC         V VIA .
$608       3.279     3.754   1  3A   (T)  #1688 P_5VSUS_EN_10    V VIA .
$609       3.035     3.730   1  3A   (T)  #1304 P_5VSUS_LG_30    V VIA .
$610       2.919     3.616   1  3A   (T)  #261  N30864041        V VIA .
$611       2.958     3.535   3  3A   (T)  #1456 X1_LAN           V VIA .
$612       3.005     3.555   3  3A   (T)  #95   X2_LAN           V VIA .
$613       3.263     3.431   1  3A   (T)  #189  CLK_25M_LAN_XIN  V VIA .
$614       3.378     3.512   1  3A   (T)  #459  +3VA             V PIN PT8707.1
$615       3.565     3.670   2  3A   (T)  #1689 +3VAO            V PIN PT8705.1
$616       3.632     3.679   2  3A   (T)  #611  P_3VADSW_CS_10   V VIA .
$617       3.601     3.396   2  3A   (T)  #99   SD_WP            V VIA .
$618       3.526     3.385   2  3A   (T)  #2276 MS_BS            V VIA .
$619       3.573     3.325   2  3A   (T)  #2277 MS_INS           V VIA .
$620       3.196     3.279   1  3A   (T)  #223  LX               V VIA .
$621       2.993     3.330   2  3A   (T)  #2371 N30863249        V PIN T3301.1
$622       2.924     3.330   2  3A   (T)  #2370 TCLK             V PIN T3303.1
$623       3.014     3.098   1  3A   (T)  #224  VDD10            V VIA .
$624       2.944     3.002   1  3A   (T)  #1538 PCIE_WAKE#       V VIA .
$625       3.254     2.687   1  3A   (T)  #1369 +5V_KBLED        V VIA .
$626       3.283     2.522   1  3A   (T)  #575  SATALED          V VIA .
$627       3.425     2.570   3  3A   (T)  #484  SATA_LED#        V PIN T5604.1
$628       3.495     2.579   3  3A   (T)  #851  KSO0             V VIA .
$629       3.495     2.475   2  3A   (T)  #475  DAS_DSS_LED#     V PIN T5601.1
$630       3.548     2.532   3  3A   (T)  #844  KSI1             V VIA .
$631       3.547     2.583   3  3A   (T)  #850  KSI7             V VIA .
$632       3.599     2.572   3  3A   (T)  #866  KSO9             V VIA .
$633       3.571     2.355   2  3A   (T)  #864  KSO7             V VIA .
$634       3.674     2.524   3  3A   (T)  #849  KSI6             V VIA .
$635       3.652     2.580   3  3A   (T)  #848  KSI5             V VIA .
$636       3.702     2.568   3  3A   (T)  #860  KSO3             V VIA .
$637       3.750     2.583   3  3A   (T)  #847  KSI4             V VIA .
$638       3.618     2.302   2  3A   (T)  #2260 N30323576        V VIA .
$639       3.493     2.276   1  3A   (T)  #573  DAS_DSS_LED      V VIA .
$640       3.391     2.326   3  3A   (T)  #2367 DAS_DSS_LED_C#   V VIA .
$641       3.350     2.366   3  3A   (T)  #2256 SATA_LED#_C      V VIA .
$642       3.355     2.417   3  3A   (T)  #2366 SATA_LED         V VIA .
$643       3.088     2.302   1  3A   (T)  #2257 N30323460        V VIA .
$644       3.117     2.595   1  3A   (T)  #1370 LED_CTR_KB#      V VIA .
$645       2.978     2.633   1  3A   (T)  #1607 P_1.0VSUS_EN_10  V VIA .
$646       2.884     2.563   1  3A   (T)  #356  P_1.0VSUS_FB_10  V VIA .
$647       2.917     2.788   1  3A   (T)  #531  N1743532         V VIA .
$648       2.776     2.725   1  3A   (T)  #508  P_1.0VSUS_TON_10 V VIA .
$649       2.629     2.741   1  3A   (T)  #516  P_1.0VSUS_CS_10  V VIA .
$650       2.582     2.595   1  3A   (T)  #2328 P_1.0VSUS_BST_30 V VIA .
$651       2.657     2.504   1  3A   (T)  #1677 P_1.0VSUS_VTTREF_10 V VIA .
$652       2.721     2.444   2  3A   (T)  #530  P_1.0VSUS_VSENS_10 V VIA .
$653       2.780     2.403   2  3A   (T)  #1686 P_1.0VSUS_LOSENS_10 V VIA .
$654       2.575     2.296   1  3A   (T)  #2264 N39528470        V VIA .
$655       2.530     2.441   1  3A   (T)  #509  P_1.0VSUS_VIN_S  V VIA .
$656       2.348     2.365   1  3A   (T)  #867  PWR_LED          V VIA .
$657       2.284     2.298   1  3A   (T)  #2208 PWR_LED#_C       V VIA .
$658       2.023     2.302   1  3A   (T)  #2258 N30323059        V VIA .
$659       2.311     3.128   1  3A   (T)  #93   BUF_PLT_RST#     V VIA .
$660       2.415     3.159   2  3A   (T)  #103  VDD33/18         V VIA .
$661       2.482     3.155   2  3A   (T)  #92   CLKREQ_LAN#      V VIA .
$662       2.514     2.747   2  3A   (T)  #2305 P_1.0VSUS_BST_R_30 V VIA .
$663       2.570     2.810   2  3A   (T)  #354  P_1.0VSUS_DHR_30 V VIA .
$664       2.691     2.879   2  3A   (T)  #520  P_1.0VSUS_VDD_30 V VIA .
$665       2.754     2.911   2  3A   (T)  #519  P_1.0VSUS_VID_10 V VIA .
$666       2.831     2.934   2  3A   (T)  #533  P_1.0VSUS_DISCHG_10 V VIA .
$667       2.821     3.106   1  3A   (T)  #98   ENSWREG          V VIA .
$668       2.748     3.259   1  3A   (T)  #2369 TCS              V PIN T3302.1
$669       2.716     3.168   2  3A   (T)  #1517 SDA/SPIDI        V VIA .
